time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-26T11:20:40.012Z,61.2648,-147.6781,0,0.8,ml,,,,0.36,ak,ak022176n65c,2022-02-17T18:17:16.354Z,"Southern Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-25T10:09:06.645Z,61.1167,-147.2917,0,1.3,ml,,,,0.3,ak,ak02215ifyco,2022-02-16T23:37:07.671Z,"43 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-18T11:34:37.112Z,61.2685,-147.6641,0,1.2,ml,,,,0.42,ak,ak022tyfdr3,2022-02-09T17:26:17.571Z,"60 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-18T05:13:58.729Z,61.2432,-147.5872,0,1.1,ml,,,,0.43,ak,ak022tuqbr4,2022-02-09T17:26:14.761Z,"63 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-18T03:08:43.042Z,61.2536,-147.694,0,1,ml,,,,0.36,ak,ak022tticr4,2022-02-09T17:26:14.118Z,"61 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-15T08:26:21.046Z,61.2225,-147.8101,0,1.2,ml,,,,0.39,ak,ak022oxzaru,2022-02-09T17:03:56.893Z,"64 km ESE of Knik River, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-11T03:34:46.699Z,61.2931,-147.749,0,1.2,ml,,,,0.48,ak,ak022i8wifa,2022-02-06T22:43:20.339Z,"57 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-07T06:25:18.522Z,61.2165,-146.8901,0,1.2,ml,,,,0.52,ak,ak022bohff0,2022-02-01T23:03:04.413Z,"30 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-04T23:34:48.095Z,61.2051,-147.8016,0,1,ml,,,,0.53,ak,ak022701r4f,2022-01-31T21:33:33.161Z,"65 km ESE of Knik River, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-31T22:22:57.676Z,61.2599,-146.9545,0,1.4,ml,,,,0.68,ak,ak021gs0e51t,2022-01-27T21:04:19.286Z,"35 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-30T06:22:56.761Z,61.3081,-147.7886,0,1.4,ml,,,,0.51,ak,ak021gq3brik,2022-01-29T18:14:02.257Z,"56 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-29T13:22:40.386Z,61.3279,-147.6791,0,1.1,ml,,,,0.62,ak,ak021gojyezq,2022-01-28T18:15:44.847Z,"53 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-26T15:48:33.256Z,61.1833,-147.0113,0,0.9,ml,,,,0.75,ak,ak021gjmosv6,2022-01-19T17:20:34.066Z,"36 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-26T09:00:45.649Z,61.276,-147.6579,0,1.2,ml,,,,0.65,ak,ak021gjitxrp,2022-01-19T17:20:28.863Z,"59 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-25T18:21:36.890Z,61.0064,-147.5632,0,1.1,ml,,,,0.19,ak,ak021gi0rzfx,2022-01-20T14:24:16.033Z,"50 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-25T15:59:14.949Z,61.1375,-146.9094,0,1.1,ml,,,,0.33,ak,ak021ghz7s54,2022-01-20T14:24:14.702Z,"30 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-25T10:23:55.973Z,61.3198,-147.7435,0,1.4,ml,,,,0.41,ak,ak021ghw0z4d,2022-01-20T14:24:26.194Z,"54 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-25T03:08:43.904Z,61.2049,-147.02,0,1.3,ml,,,,0.29,ak,ak021ghrrp7q,2022-01-20T14:24:21.909Z,"37 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-22T22:45:27.096Z,61.1879,-147.2426,0,0.9,ml,,,,0.4,ak,ak021gd4osiv,2022-01-15T23:07:51.624Z,"47 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-21T01:32:33.684Z,61.1934,-147.3633,0,1.1,ml,,,,0.26,ak,ak021gb4kkup,2022-01-16T17:21:49.767Z,"Southern Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-20T19:24:58.559Z,61.1267,-146.7236,0,1.1,ml,,,,1.27,ak,ak021g9rpghn,2022-01-28T20:00:18.044Z,"Southern Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-18T17:12:02.208Z,61.2944,-147.5997,0,1.3,ml,,,,0.76,ak,ak021g6fd0l2,2022-01-14T20:14:15.322Z,"57 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-18T11:10:39.085Z,61.3343,-147.7801,0,1.1,ml,,,,0.93,ak,ak021g6bs4ez,2022-01-14T20:14:09.031Z,"53 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2021-12-17T07:03:17.924Z,61.2691,-147.7941,0,1.5,ml,,,,0.56,ak,ak021g4ltiyl,2022-01-15T02:05:08.153Z,"60 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
