,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,No_of_stations
2036,2019-07-17T17:02:19.595Z,61.2318,-147.4964,0.0,1.2,ml,,,,0.81,ak,ak01993qjk20,2019-08-10T21:05:08.166Z,"60 km NW of Tatitlek, Alaska",earthquake,,0.0,,,reviewed,ak,ak,5
2121,2019-06-05T00:23:12.595Z,61.2434,-147.6516,0.0,1.5,ml,,,,0.73,ak,ak01975zz3h7,2019-07-04T01:51:47.572Z,"62 km S of Glacier View, Alaska",earthquake,,0.0,,,reviewed,ak,ak,6
2129,2019-05-31T18:25:31.205Z,61.1636,-146.9361,0.9,1.2,ml,,,,0.71,ak,ak0196y10mr7,2019-06-17T16:58:49.088Z,"31 km W of Valdez, Alaska",earthquake,,14.2,,,reviewed,ak,ak,3
2146,2019-05-21T14:49:38.297Z,61.2129,-147.1261,0.0,1.4,ml,,,,0.52,ak,ak0196hfelbk,2019-06-12T22:21:13.856Z,"42 km WNW of Valdez, Alaska",earthquake,,0.0,,,reviewed,ak,ak,9
2172,2019-05-05T01:02:32.481Z,61.2572,-147.7466,7.5,1.2,ml,,,,0.73,ak,ak0195qqsb9s,2019-05-14T02:52:30.235Z,"61 km S of Glacier View, Alaska",earthquake,,1.2,,,reviewed,ak,ak,5
2209,2019-04-17T02:38:24.984Z,61.1066,-147.1431,19.8,1.0,ml,,,,0.89,ak,ak0194wzx75p,2019-08-21T20:23:08.288Z,"36 km NW of Tatitlek, Alaska",earthquake,,0.8,,,reviewed,ak,ak,8
2247,2019-03-30T12:52:50.433Z,60.9681,-147.6238,54.5,1.1,ml,,,,0.7,ak,ak01943eacme,2019-04-26T02:27:02.347Z,"52 km WNW of Tatitlek, Alaska",earthquake,,1.8,,,reviewed,ak,ak,4
2251,2019-03-28T10:48:23.153Z,61.2073,-147.8216,0.0,0.8,ml,,,,0.62,ak,ak019401zv63,2019-04-24T21:30:33.104Z,"64 km ESE of Knik River, Alaska",earthquake,,0.0,,,reviewed,ak,ak,6
2254,2019-03-26T18:15:52.608Z,61.4128,-146.9321,42.5,1.7,ml,,,,0.69,ak,ak0193wvhmnw,2019-03-26T18:23:34.633Z,"44 km NW of Valdez, Alaska",earthquake,,1.6,,,automatic,ak,ak,8
2354,2019-02-03T09:37:22.665Z,61.0502,-147.6672,28.5,1.4,ml,,,,1.13,ak,ak0191kduoh6,2019-02-03T09:41:10.239Z,"57 km WNW of Tatitlek, Alaska",earthquake,,0.4,,,automatic,ak,ak,8
2362,2019-01-27T22:52:58.958Z,61.2197,-147.1498,9.2,1.6,ml,,,,1.18,ak,ak019190x6fb,2019-01-27T22:56:27.794Z,"44 km WNW of Valdez, Alaska",earthquake,,1.0,,,automatic,ak,ak,9
2560,2018-10-19T10:02:42.015Z,61.1797,-147.1344,16.2,1.3,ml,,,,0.48,ak,ak018df2w6x5,2019-07-01T18:58:21.062Z,"42 km W of Valdez, Alaska",earthquake,,1.2,,,reviewed,ak,ak,4
2646,2018-09-24T02:43:17.053Z,61.1615,-147.5092,4.2,1.3,ml,,,,0.85,ak,ak018c9lxs61,2019-12-03T21:26:13.945Z,"55 km NW of Tatitlek, Alaska",earthquake,,0.6,,,reviewed,ak,ak,7
2648,2018-09-23T19:42:42.283Z,61.1798,-147.6163,15.2,1.5,ml,,,,0.67,ak,ak018c88in6s,2019-12-03T21:26:00.794Z,"61 km NW of Tatitlek, Alaska",earthquake,,1.3,,,reviewed,ak,ak,3
2687,2018-09-10T18:18:21.356Z,61.3087,-147.6329,4.9,1.5,ml,,,,1.12,ak,ak20250460,2018-09-11T17:01:06.565Z,"55 km S of Glacier View, Alaska",earthquake,,0.9,,,automatic,ak,ak,4
2696,2018-09-09T06:17:55.427Z,60.8677,-147.1438,23.5,1.9,ml,,,,0.71,ak,ak20247983,2018-09-11T17:00:24.995Z,"25 km W of Tatitlek, Alaska",earthquake,,0.7,,,automatic,ak,ak,5
2711,2018-09-05T20:36:42.856Z,61.218,-147.6694,131.2,2.6,ml,,,,1.07,ak,ak20243211,2018-09-11T16:58:48.033Z,"65 km S of Glacier View, Alaska",earthquake,,1.2,,,automatic,ak,ak,4
2715,2018-09-05T04:19:41.694Z,61.2333,-147.5439,13.1,1.0,ml,,,,0.54,ak,ak20241948,2018-09-11T16:58:24.589Z,"62 km NW of Tatitlek, Alaska",earthquake,,0.5,,,automatic,ak,ak,8
